T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
109,0.158988885,6.948477253,0.527512909,0.013507381,0.395785606,160,0.0064,0.2272,0.0992,0.6016,0.544,0.218480866,0.095393054,0.578512715,0.523123199
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,0,0.2976,0.0768,0.0448,0.1088,0.0256,0.073852687,0.043080734,0.10462464,0.024617562
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,10,0.384,0.8224,0.4768,0.896,0.0368,0.79083919,0.458502098,0.861614681,0.035387746
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,65,0.1632,1.9136,0.9344,1.4592,0.08,1.840162784,0.898541025,1.403201052,0.076929882
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,113,0.0416,2.208,0.9504,1.4976,0.1296,2.12326475,0.913927001,1.440127396,0.124626409
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,157,0.0192,2.1856,0.8576,1.4528,0.1648,2.101724383,0.824688338,1.397046662,0.158475557
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,210,0.0128,2.0768,0.752,1.408,0.208,1.997099743,0.723140893,1.353965928,0.200017694
85.56381357,0.302714007,6.249610721,0.341991829,0.252370993,0.328948807,250,0.0128,1.904,0.6656,1.3024,0.2416,1.830931198,0.64005662,1.252418483,0.232328244
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,20,0.3648,0.1568,0.0864,0.2336,0.0384,0.150782569,0.083084273,0.224635256,0.036926343
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,60,0.4192,0.8288,0.4576,0.912,0.064,0.79699358,0.440038927,0.877000658,0.061543906
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,105,0.3712,1.4016,0.7584,1.312,0.104,1.347811537,0.729295284,1.261650069,0.100008847
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,157,0.1984,1.9904,0.9824,1.4656,0.1552,1.914015471,0.944698954,1.409355443,0.149243972
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,215,0.0928,2.1888,0.9792,1.4912,0.1952,2.104801579,0.941621759,1.433973005,0.187708913
