Y2,O2,T,Y3
0,21,150,68.85735043
13.53175505,21,150,68.85735043
20.05599409,21,150,68.85735043
29.18992874,21,150,68.85735043
32.6211952,21,150,68.85735043
0,21,150,68.85735043
0.690870023,21,150,68.85735043
4.85055864,21,150,68.85735043
11.68691645,21,150,68.85735043
15.62957784,21,150,68.85735043
17.25728208,21,150,68.85735043
19.35521199,21,150,68.85735043
20.87440262,21,150,68.85735043
0,21,150,68.85735043
7.860934112,21,150,68.85735043
15.35048551,21,150,68.85735043
21.04502046,21,150,68.85735043
27.54421795,21,150,68.85735043
27.60611507,21,150,68.85735043
28.72026321,21,150,68.85735043
30.88666238,21,150,68.85735043
0,21,150,68.85735043
0.46209591,21,150,68.85735043
3.38870334,21,150,68.85735043
5.891722852,21,150,68.85735043
0,21,150,68.85735043
0.133590503,21,150,68.85735043
1.606425796,21,150,68.85735043
6.936686858,21,150,68.85735043
8.973942025,21,150,68.85735043
20.56291814,21,150,68.85735043
24.6708261,21,150,68.85735043
0,21,150,68.85735043
1.493417778,21,150,68.85735043
2.829633684,21,150,68.85735043
4.440952865,21,150,68.85735043
10.76832819,21,150,68.85735043
13.08705579,21,150,68.85735043
15.24858152,21,150,68.85735043
15.52368479,21,150,68.85735043
0,21,150,68.85735043
6.087116397,21,150,68.85735043
20.29852668,21,150,68.85735043
26.12082253,21,150,68.85735043
28.68764113,21,150,68.85735043
31.81790771,21,150,68.85735043
33.75867299,21,150,68.85735043
39.08012618,21,150,68.85735043
0,21,150,68.85735043
2.25996921,21,150,68.85735043
17.02182097,21,150,68.85735043
21.16919837,21,150,68.85735043
25.8086375,21,150,68.85735043
24.68392498,21,150,68.85735043
34.52515949,21,150,68.85735043
35.22810481,21,150,68.85735043
0,21,150,68.85735043
5.208423307,21,150,68.85735043
11.88417735,21,150,68.85735043
15.48908454,21,150,68.85735043
14.42096389,21,150,68.85735043
16.82423535,21,150,68.85735043
15.0885393,21,150,68.85735043
16.95775043,21,150,68.85735043
0,21,150,68.85735043
7.732937875,21,150,68.85735043
18.01319646,21,150,68.85735043
21.24283522,21,150,68.85735043
