Y2,O2,T,Y3
22.65295919,21,150,68.85735043
18.33161155,21,150,68.85735043
24.60893759,21,150,68.85735043
25.38223138,21,150,68.85735043
0,21,150,68.85735043
1.825173107,21,150,68.85735043
7.913253382,21,150,68.85735043
11.16578942,21,150,68.85735043
15.75269922,21,150,68.85735043
17.50406477,21,150,68.85735043
19.29712951,21,150,68.85735043
19.75582049,21,150,68.85735043
0,21,150,68.85735043
1.307902301,21,150,68.85735043
7.847413807,21,150,68.85735043
17.37641629,21,150,68.85735043
22.54574443,21,150,68.85735043
30.4554393,21,150,68.85735043
32.75983859,21,150,68.85735043
41.60374939,21,150,68.85735043
0,21,150,68.85735043
0.571101349,21,150,68.85735043
10.4701914,21,150,68.85735043
11.6123941,21,150,68.85735043
13.51606527,21,150,68.85735043
12.37386257,21,150,68.85735043
0,21,150,68.85735043
36.76188199,21,150,68.85735043
37.18099139,21,150,68.85735043
38.85742901,21,150,68.85735043
39.21666564,21,150,68.85735043
0,21,150,68.85735043
40.13306442,21,150,68.85735043
40.27290089,21,150,68.85735043
41.11191965,21,150,68.85735043
40.34281912,21,150,68.85735043
43.34930304,21,150,68.85735043
0,21,150,68.85735043
31.37686639,21,150,68.85735043
33.83020162,21,150,68.85735043
34.691021,21,150,68.85735043
35.55184038,21,150,68.85735043
0,21,150,68.85735043
40.48643058,21,150,68.85735043
40.33307289,21,150,68.85735043
41.96888827,21,150,68.85735043
40.33307289,21,150,68.85735043
0,21,150,68.85735043
37.28773406,21,150,68.85735043
38.22362171,21,150,68.85735043
39.25802384,21,150,68.85735043
0,21,150,68.85735043
1.562095611,21,150,68.85735043
35.035573,21,150,68.85735043
40.61448589,21,150,68.85735043
44.85445969,21,150,68.85735043
51.66073343,21,150,68.85735043
51.10284214,21,150,68.85735043
51.10284214,21,150,68.85735043
0,21,150,68.85735043
28.90125949,21,150,68.85735043
29.89102865,21,150,68.85735043
29.79205173,21,150,68.85735043
0,21,150,68.85735043
30.42451389,21,150,68.85735043
32.60493738,21,150,68.85735043
32.75705995,21,150,68.85735043
32.09786215,21,150,68.85735043
0,21,150,68.85735043
30.63815635,21,150,68.85735043
34.77844775,21,150,68.85735043
36.93139927,21,150,68.85735043
0,21,150,68.85735043
31.60028063,21,150,68.85735043
37.90843458,21,150,68.85735043
37.43234749,21,150,68.85735043
39.45571762,21,150,68.85735043
0,21,150,68.85735043
32.65186295,21,150,68.85735043
33.83529127,21,150,68.85735043
36.52490106,21,150,68.85735043
36.95523863,21,150,68.85735043
0,21,150,68.85735043
33.16152413,21,150,68.85735043
33.44938459,21,150,68.85735043
32.64337532,21,150,68.85735043
41.2791889,21,150,68.85735043
0,21,150,68.85735043
60.92604414,21,150,68.85735043
62.07127053,21,150,68.85735043
62.52936109,21,150,68.85735043
0,21,150,68.85735043
47.89594602,21,150,68.85735043
47.99872702,21,150,68.85735043
51.18493802,21,150,68.85735043
0,21,150,68.85735043
51.44058301,21,150,68.85735043
53.43040499,21,150,68.85735043
54.46216454,21,150,68.85735043
0,21,150,68.85735043
37.92627589,21,150,68.85735043
39.17652399,21,150,68.85735043
38.65558728,21,150,68.85735043
0,21,150,68.85735043
56.94072647,21,150,68.85735043
58.34320742,21,150,68.85735043
0,21,150,68.85735043
28.40754839,21,150,68.85735043
29.76028879,21,150,68.85735043
32.04303821,21,150,68.85735043
0,21,150,68.85735043
40.93224167,21,150,68.85735043
42.22693545,21,150,68.85735043
44.816323,21,150,68.85735043
47.10693506,21,150,68.85735043
0,21,150,68.85735043
5.253189862,21,150,68.85735043
30.8851335,21,150,68.85735043
0,21,150,68.85735043
25.01972678,21,150,68.85735043
24.11811501,21,150,68.85735043
0,21,150,68.85735043
37.19476165,21,150,68.85735043
40.79715988,21,150,68.85735043
43.49895855,21,150,68.85735043
0,21,150,68.85735043
21.49584221,21,150,68.85735043
41.2877457,21,150,68.85735043
0,21,150,68.85735043
24.26107027,21,150,68.85735043
37.33378288,21,150,68.85735043
26.38096961,21,150,68.85735043
0,21,150,68.85735043
34.47250692,21,150,68.85735043
38.17294552,21,150,68.85735043
33.79084718,21,150,68.85735043
36.03058633,21,150,68.85735043
0,21,150,68.85735043
45.7676216,21,150,68.85735043
45.7676216,21,150,68.85735043
43.04335841,21,150,68.85735043
0,21,150,68.85735043
31.38017487,21,150,68.85735043
33.64956408,21,150,68.85735043
34.11909288,21,150,68.85735043
0,21,150,68.85735043
29.69397917,21,150,68.85735043
29.91104042,21,150,68.85735043
0,21,150,68.85735043
26.61909221,21,150,68.85735043
24.78075711,21,150,68.85735043
0,21,150,68.85735043
33.96350199,21,150,68.85735043
33.96350199,21,150,68.85735043
42.49386994,21,150,68.85735043
0,21,150,68.85735043
27.08453637,21,150,68.85735043
27.63354725,21,150,68.85735043
26.5355255,21,150,68.85735043
29.5855859,21,150,68.85735043
